"","x","y","chl"
"160",-140.25,50,0.277548581361771
"161",-140,50,0.27754744887352
"162",-139.75,50,0.277728408575058
"163",-139.5,50,0.277584940195084
"164",-139.25,50,0.27758777141571
"165",-139,50,0.27771845459938
"166",-138.75,50,0.277214705944061
"167",-138.5,50,0.27560943365097
"168",-138.25,50,0.274962931871414
"169",-138,50,0.274744272232056
"170",-137.75,50,0.274508059024811
"171",-137.5,50,0.273782879114151
"172",-137.25,50,0.273367792367935
"173",-137,50,0.273055106401443
"174",-136.75,50,0.272845029830933
"175",-136.5,50,0.276379346847534
"176",-136.25,50,0.282467544078827
"177",-136,50,0.278857439756393
"178",-135.75,50,0.276122391223907
"179",-135.5,50,0.274858236312866
"180",-135.25,50,0.274185299873352
"181",-135,50,0.273005455732346
"182",-134.75,50,0.275066792964935
